investment_id,capex_meuro,uncertainty_pct,opex_meuro_per_year,project_url
1107,600.0,20%,4.8,https://tyndp-data.netlify.app/tyndp2018/projects/projects/225
631,11.0,5%,0.13,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1528,10.5,5%,0.13,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
627,19.6,5%,0.24,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1526,67.5,5%,1.35,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
630,44.4,5%,0.53,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1527,17.0,5%,0.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
628,55.0,5%,0.66,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1231,49.0,10%,0.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/228
1274,66.7,5%,2.001,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1273,28.4,9%,0.085,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1272,23.7,5%,0.711,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1270,19.0,9%,0.057,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1271,19.0,9%,0.057,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1275,15.0,9%,0.045,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1035,22.5,5%,0.675,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
353,38.7,5%,0.116,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
355,102.27,5%,0.307,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
1232,107.22,5%,0.7,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
1282,58.0,10%,0.304,https://tyndp-data.netlify.app/tyndp2018/projects/projects/231
1457,0.0,,0.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/231
1235,75.0,10%,1.125,https://tyndp-data.netlify.app/tyndp2018/projects/projects/233
1236,655.0,20 %,13.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/234
664,6500.0,+-20%,52.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/235
608,100.0,5%,0.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/236
1241,380.0,+-10 %,0.75,https://tyndp-data.netlify.app/tyndp2018/projects/projects/239
