Inv_index,Tstart,Tstop,from,to,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
997,2016.0,2018.0,2,3,60.0,AC,0.0,380.0,ACTransmissionLine,AUT;DEU,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
997,2018.0,2026.0,3,3,60.0,AC,0.0,380.0,ACTransmissionLine,AUT;DEU,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
998,2014.0,2015.0,1,2,770.0,DC,1400.0,515.0,OffshoreDCTransmissionCable,DNK;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
998,2015.0,2016.0,2,3,770.0,DC,1400.0,515.0,OffshoreDCTransmissionCable,DNK;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
998,2016.0,2020.0,3,4,770.0,DC,1400.0,515.0,OffshoreDCTransmissionCable,DNK;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
998,2020.0,2022.0,4,6,770.0,DC,1400.0,515.0,OffshoreDCTransmissionCable,DNK;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
999,2014.0,2018.0,1,6,275.0,AC,2700.0,400.0,Overhead Line,FRA,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
1000,2014.0,2020.0,1,6,200.0,DC,600.0,400.0,Subsea Cable,DNK,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
1001,2014.0,2015.0,3,6,335.0,DC,500.0,500.0,Subsea Cable,GRC,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
1002,2016.0,2018.0,2,6,45.0,AC,0.0,400.0,Overhead Line,ALB;SRB;BGR;GRC;MKD,5.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1004,2014.0,2015.0,2,1,76.0,AC,200.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1004,2015.0,2016.0,1,6,76.0,AC,200.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
1004,2018.0,2022.0,1,6,76.0,AC,200.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,New,Cable/Line,Onshore,1,1
1005,2014.0,2016.0,3,6,,DC,1000.0,320.0,Underground Cable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1008,2014.0,2024.0,1,2,100.0,AC,0.0,400.0,ACTransmissionLine,BEL;FRA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,0
1008,2024.0,2026.0,2,2,100.0,AC,0.0,400.0,ACTransmissionLine,BEL;FRA,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1010,2014.0,2015.0,1,2,133.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1010,2015.0,2016.0,2,1,133.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1010,2016.0,2018.0,1,2,133.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1010,2018.0,2020.0,2,3,133.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,1
1010,2020.0,2022.0,3,4,133.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1010,2022.0,2024.0,4,5,133.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1011,2014.0,2015.0,1,2,60.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1011,2015.0,2016.0,2,1,60.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1011,2016.0,2018.0,1,2,60.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
1011,2018.0,2020.0,2,3,60.0,AC,0.0,330.0,ACTransmissionLine,EST;LTU;LVA;POL,4.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,1
