Inv_index,Duration,from,to,status,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element.type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1423,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1424,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1425,2.0,1,6,2,,DC,,,Underground Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1426,2.0,1,6,2,,DC,,,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1427,2.0,1,6,2,,DC,,,Substation,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,0,0
1428,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1429,2.0,1,6,2,,DC,,300.0,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1430,6.0,1,1,0,2.0,AC,0.0,400.0,OnshoreACTransmissionCable,ITA;TUN,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1431,4.0,1,6,2,245.0,DC,600.0,320.0,OffshoreDCTransmissionCable,GRC,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1432,4.0,1,6,2,250.0,DC,600.0,320.0,OffshoreDCTransmissionCable,GRC,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1433,4.0,1,6,2,81.0,AC,0.0,220.0,OffshoreACTransmissionCable,GRC,1.0,EU,Internal,New,Cable/Line,Offshore,1,1
1435,2.0,1,6,2,34.0,AC,,220.0,Subsea Cable,EGY;GRC,2.0,Extra-EU,Internal,New,Cable/Line,Offshore,1,1
1436,2.0,1,6,2,14.0,AC,,220.0,Subsea Cable,EGY;GRC,2.0,Extra-EU,Internal,New,Cable/Line,Offshore,1,1
1437,6.0,1,6,2,1330.0,DC,1800.0,500.0,Subsea Cable,ESP;FRA;GBR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,0
1438,2.0,1,6,2,,DC,,,Subsea Cable,IRL,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
1439,2.0,2,6,2,,DC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1440,2.0,2,6,2,,DC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1441,2.0,2,6,2,,DC,,,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1442,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1443,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1444,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1445,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1446,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1447,2.0,2,6,2,,DC,,,Underground Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1448,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1449,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1450,2.0,2,6,2,,AC,,,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1452,2.0,1,6,2,130.0,AC,500.0,400.0,Overhead Line,BGR;GRC,2.0,EU,Cross-border,New,Cable/Line,Onshore,0,0
